MonthName,TCC Real Teste,TCC Previsao Hibrido,TCC Erro Absoluto,TCC Erro Percentual
Jul/23,"R$ 369258,95",363945.8234,"R$ 5313,13","1,44%"
Aug/23,"R$ 485092,94",431756.0859,"R$ 53336,85","11,00%"
Sep/23,"R$ 469923,81",466542.7725,"R$ 3381,04","0,72%"
Oct/23,"R$ 577606,85",485828.49,"R$ 91778,36","15,89%"
Nov/23,"R$ 672819,46",573140.1592,"R$ 99679,30","14,82%"
Dec/23,"R$ 879031,99",702330.1717,"R$ 176701,82","20,10%"
Jan/24,"R$ 561870,52",557009.9559,"R$ 4860,56","0,87%"
Feb/24,"R$ 504362,90",532719.9359,"R$ 28357,04","-5,62%"
Mar/24,"R$ 398051,48",559418.495,"R$ 161367,02","-40,54%"
Apr/24,"R$ 307723,80",471039.0659,"R$ 163315,27","-53,07%"
May/24,"R$ 257163,18",433387.0775,"R$ 176223,90","-68,53%"
Jun/24,"R$ 390318,26",356740.3084,"R$ 33577,95","8,60%"
Jul/24,"R$ 281528,99",362891.8592,"R$ 81362,87","-28,90%"
Aug/24,"R$ 336083,14",406785.5409,"R$ 70702,40","-21,04%"
Sep/24,"R$ 409542,85",400158.59,"R$ 9384,26","2,29%"
Oct/24,"R$ 544005,66",473690.265,"R$ 70315,40","12,93%"
Nov/24,"R$ 574502,35",547741.5009,"R$ 26760,85","4,66%"
Dec/24,"R$ 954281,14",697844.6725,"R$ 256436,47","26,87%"
Jan/25,"R$ 385240,44",547906.5584,"R$ 162666,12","-42,22%"
Feb/25,"R$ 439058,04",527733.99,"R$ 88675,95","-20,20%"
Mar/25,"R$ 430112,17",476292.39,"R$ 46180,22","-10,74%"
Apr/25,"R$ 335091,36",413719.025,"R$ 78627,67","-23,46%"
May/25,"R$ 295617,64",365198.3225,"R$ 69580,68","-23,54%"
Jun/25,"R$ 212706,87",369978.0067,"R$ 157271,14","-73,94%"
Jul/25,"R$ 305970,82",308977.57,"R$ 3006,75","-0,98%"
Aug/25,"R$ 419896,79",334657.8742,"R$ 85238,92","20,30%"
Sep/25,"R$ 602210,37",385729.2459,"R$ 216481,12","35,95%"
